"DateTime";"Without Channels";"With Channels"
"2019-11-25 00:00:00";83;4869
"2019-11-26 00:00:00";83;4867
"2019-11-27 00:00:00";83;4893
"2019-11-28 00:00:00";83;4903
"2019-11-29 00:00:00";83;4901
"2019-11-30 00:00:00";85;4906
"2019-12-01 00:00:00";85;4907
"2019-12-02 00:00:00";85;4905
"2019-12-03 00:00:00";84;4910
"2019-12-04 00:00:00";84;4907
"2019-12-05 00:00:00";84;4902
"2019-12-06 00:00:00";84;4902
"2019-12-07 00:00:00";85;4907
"2019-12-08 00:00:00";85;4912
"2019-12-09 00:00:00";85;4914
"2019-12-10 00:00:00";86;4918
"2019-12-11 00:00:00";85;4940
"2019-12-12 00:00:00";85;4941
"2019-12-13 00:00:00";84;4947
"2019-12-14 00:00:00";84;4954
"2019-12-15 00:00:00";85;4952
"2019-12-16 00:00:00";1;4842
"2019-12-17 00:00:00";1;4849
"2019-12-18 00:00:00";1;4861
"2019-12-19 00:00:00";1;4883
"2019-12-20 00:00:00";1;4883
"2019-12-21 00:00:00";1;4893
"2019-12-22 00:00:00";1;4891
"2019-12-23 00:00:00";1;4887
"2019-12-24 00:00:00";1;4893
"2019-12-25 00:00:00";1;4900
"2019-12-26 00:00:00";1;4904
"2019-12-27 00:00:00";1;4911
"2019-12-28 00:00:00";1;4913
"2019-12-29 00:00:00";1;4917
"2019-12-30 00:00:00";1;4918
"2019-12-31 00:00:00";1;4923
"2020-01-01 00:00:00";1;4923
"2020-01-02 00:00:00";1;4925
"2020-01-03 00:00:00";1;4920
"2020-01-04 00:00:00";1;4918
"2020-01-05 00:00:00";1;4925
"2020-01-06 00:00:00";1;4924
"2020-01-07 00:00:00";1;4928
"2020-01-08 00:00:00";1;4925
"2020-01-09 00:00:00";1;4930
"2020-01-10 00:00:00";1;4937
"2020-01-11 00:00:00";1;4944
"2020-01-12 00:00:00";1;4948
"2020-01-13 00:00:00";1;4956
"2020-01-14 00:00:00";1;4958
"2020-01-15 00:00:00";1;4965
"2020-01-16 00:00:00";1;4970
"2020-01-17 00:00:00";1;4968
"2020-01-18 00:00:00";1;4974
"2020-01-19 00:00:00";1;4976
"2020-01-20 00:00:00";1;4985
